"filename", "language", "C#", "UnityAssemblyDefinition", "comment", "blank", "total"
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/DataProvider/DataProvider.cs", "C#", 347, 0, 101, 56, 504
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/DataProvider/DataProviderCreator.cs", "C#", 38, 0, 31, 9, 78
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/DataProvider/IDataProvider.cs", "C#", 21, 0, 79, 16, 116
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/DataProvider/IDataProviderHelper.cs", "C#", 11, 0, 48, 6, 65
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/DataProvider/ReadDataDependencyAssetEventArgs.cs", "C#", 57, 0, 39, 9, 105
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/DataProvider/ReadDataFailureEventArgs.cs", "C#", 41, 0, 31, 7, 79
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/DataProvider/ReadDataSuccessEventArgs.cs", "C#", 41, 0, 31, 7, 79
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/DataProvider/ReadDataUpdateEventArgs.cs", "C#", 41, 0, 31, 7, 79
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/DataStruct/TypeNamePair.cs", "C#", 67, 0, 54, 15, 136
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/EventPool/BaseEventArgs.cs", "C#", 10, 0, 12, 2, 24
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/EventPool/EventPool.Event.cs", "C#", 42, 0, 9, 7, 58
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/EventPool/EventPool.cs", "C#", 186, 0, 71, 29, 286
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/EventPool/EventPoolMode.cs", "C#", 12, 0, 21, 6, 39
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/GameFrameworkAction.cs", "C#", 20, 0, 329, 18, 367
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/GameFrameworkEntry.cs", "C#", 83, 0, 34, 17, 134
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/GameFrameworkEventArgs.cs", "C#", 11, 0, 15, 4, 30
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/GameFrameworkException.cs", "C#", 25, 0, 26, 6, 57
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/GameFrameworkFunc.cs", "C#", 20, 0, 363, 18, 401
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/GameFrameworkLinkedList.cs", "C#", 250, 0, 155, 49, 454
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/GameFrameworkLinkedListRange.cs", "C#", 130, 0, 63, 25, 218
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/GameFrameworkModule.cs", "C#", 15, 0, 21, 4, 40
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/GameFrameworkMultiDictionary.cs", "C#", 165, 0, 89, 30, 284
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/GameFrameworkSerializer.cs", "C#", 110, 0, 75, 24, 209
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/Log/GameFrameworkLog.ILogHelper.cs", "C#", 10, 0, 14, 2, 26
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/Log/GameFrameworkLog.cs", "C#", 731, 0, 1733, 183, 2647
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/Log/GameFrameworkLogLevel.cs", "C#", 11, 0, 24, 6, 41
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/ReferencePool/IReference.cs", "C#", 7, 0, 12, 2, 21
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/ReferencePool/ReferencePool.ReferenceCollection.cs", "C#", 172, 0, 6, 25, 203
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/ReferencePool/ReferencePool.cs", "C#", 135, 0, 64, 27, 226
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/ReferencePool/ReferencePoolInfo.cs", "C#", 75, 0, 40, 11, 126
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/TaskPool/ITaskAgent.cs", "C#", 15, 0, 32, 7, 54
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/TaskPool/StartTaskStatus.cs", "C#", 10, 0, 21, 5, 36
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/TaskPool/TaskBase.cs", "C#", 82, 0, 43, 13, 138
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/TaskPool/TaskInfo.cs", "C#", 98, 0, 39, 17, 154
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/TaskPool/TaskPool.cs", "C#", 311, 0, 81, 53, 445
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/TaskPool/TaskStatus.cs", "C#", 9, 0, 18, 4, 31
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/Variable/GenericVariable.cs", "C#", 46, 0, 34, 10, 90
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/Variable/Variable.cs", "C#", 17, 0, 26, 7, 50
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/Version/Version.IVersionHelper.cs", "C#", 17, 0, 15, 3, 35
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Base/Version/Version.cs", "C#", 41, 0, 22, 9, 72
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Config/ConfigManager.ConfigData.cs", "C#", 50, 0, 6, 8, 64
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Config/ConfigManager.cs", "C#", 250, 0, 185, 53, 488
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Config/IConfigHelper.cs", "C#", 6, 0, 9, 2, 17
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Config/IConfigManager.cs", "C#", 33, 0, 106, 22, 161
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/DataNode/DataNodeManager.DataNode.cs", "C#", 235, 0, 99, 50, 384
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/DataNode/DataNodeManager.cs", "C#", 141, 0, 110, 30, 281
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/DataNode/IDataNode.cs", "C#", 39, 0, 91, 22, 152
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/DataNode/IDataNodeManager.cs", "C#", 25, 0, 94, 17, 136
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/DataTable/DataTableBase.cs", "C#", 139, 0, 135, 31, 305
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/DataTable/DataTableManager.DataTable.cs", "C#", 337, 0, 125, 63, 525
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/DataTable/DataTableManager.cs", "C#", 293, 0, 150, 66, 509
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/DataTable/IDataRow.cs", "C#", 12, 0, 26, 4, 42
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/DataTable/IDataTable.cs", "C#", 52, 0, 116, 25, 193
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/DataTable/IDataTableHelper.cs", "C#", 6, 0, 9, 2, 17
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/DataTable/IDataTableManager.cs", "C#", 42, 0, 141, 29, 212
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Debugger/DebuggerManager.DebuggerWindowGroup.cs", "C#", 208, 0, 62, 38, 308
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Debugger/DebuggerManager.cs", "C#", 76, 0, 51, 15, 142
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Debugger/IDebuggerManager.cs", "C#", 19, 0, 36, 7, 62
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Debugger/IDebuggerWindow.cs", "C#", 12, 0, 30, 7, 49
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Debugger/IDebuggerWindowGroup.cs", "C#", 22, 0, 31, 7, 60
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/Constant.cs", "C#", 7, 0, 12, 2, 21
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadAgentHelperCompleteEventArgs.cs", "C#", 29, 0, 23, 6, 58
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadAgentHelperErrorEventArgs.cs", "C#", 33, 0, 27, 6, 66
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadAgentHelperUpdateBytesEventArgs.cs", "C#", 53, 0, 31, 11, 95
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadAgentHelperUpdateLengthEventArgs.cs", "C#", 29, 0, 23, 6, 58
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadFailureEventArgs.cs", "C#", 57, 0, 39, 9, 105
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadManager.DownloadAgent.cs", "C#", 272, 0, 57, 47, 376
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadManager.DownloadCounter.DownloadCounterNode.cs", "C#", 50, 0, 6, 9, 65
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadManager.DownloadCounter.cs", "C#", 142, 0, 6, 23, 171
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadManager.DownloadTask.cs", "C#", 88, 0, 44, 12, 144
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadManager.DownloadTaskStatus.cs", "C#", 13, 0, 21, 5, 39
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadManager.cs", "C#", 281, 0, 161, 45, 487
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadStartEventArgs.cs", "C#", 57, 0, 39, 9, 105
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadSuccessEventArgs.cs", "C#", 57, 0, 39, 9, 105
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/DownloadUpdateEventArgs.cs", "C#", 57, 0, 39, 9, 105
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/IDownloadAgentHelper.cs", "C#", 15, 0, 42, 10, 67
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Download/IDownloadManager.cs", "C#", 64, 0, 146, 31, 241
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/EntityManager.EntityGroup.cs", "C#", 260, 0, 91, 44, 395
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/EntityManager.EntityInfo.cs", "C#", 110, 0, 9, 18, 137
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/EntityManager.EntityInstanceObject.cs", "C#", 43, 0, 9, 9, 61
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/EntityManager.EntityStatus.cs", "C#", 18, 0, 9, 2, 29
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/EntityManager.ShowEntityInfo.cs", "C#", 64, 0, 6, 9, 79
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/EntityManager.cs", "C#", 846, 0, 323, 159, 1328
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/HideEntityCompleteEventArgs.cs", "C#", 49, 0, 35, 8, 92
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/IEntity.cs", "C#", 31, 0, 66, 14, 111
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/IEntityGroup.cs", "C#", 49, 0, 78, 19, 146
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/IEntityGroupHelper.cs", "C#", 6, 0, 9, 2, 17
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/IEntityHelper.cs", "C#", 9, 0, 26, 4, 39
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/IEntityManager.cs", "C#", 79, 0, 307, 65, 451
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/ShowEntityDependencyAssetEventArgs.cs", "C#", 73, 0, 47, 11, 131
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/ShowEntityFailureEventArgs.cs", "C#", 57, 0, 39, 9, 105
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/ShowEntitySuccessEventArgs.cs", "C#", 41, 0, 31, 7, 79
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Entity/ShowEntityUpdateEventArgs.cs", "C#", 57, 0, 39, 9, 105
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Event/EventManager.cs", "C#", 69, 0, 65, 16, 150
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Event/GameEventArgs.cs", "C#", 6, 0, 9, 2, 17
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Event/IEventManager.cs", "C#", 22, 0, 50, 11, 83
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/CommonFileSystemStream.cs", "C#", 84, 0, 60, 19, 163
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileInfo.cs", "C#", 57, 0, 27, 11, 95
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileSystem.BlockData.cs", "C#", 57, 0, 9, 11, 77
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileSystem.HeaderData.cs", "C#", 81, 0, 9, 16, 106
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileSystem.StringData.cs", "C#", 50, 0, 9, 12, 71
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileSystem.cs", "C#", 971, 0, 219, 192, 1382
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileSystemAccess.cs", "C#", 12, 0, 21, 6, 39
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileSystemManager.cs", "C#", 178, 0, 68, 38, 284
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/FileSystemStream.cs", "C#", 50, 0, 68, 18, 136
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/IFileSystem.cs", "C#", 51, 0, 194, 33, 278
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/IFileSystemHelper.cs", "C#", 7, 0, 16, 2, 25
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/FileSystem/IFileSystemManager.cs", "C#", 19, 0, 53, 11, 83
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Fsm/Fsm.cs", "C#", 374, 0, 138, 77, 589
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Fsm/FsmBase.cs", "C#", 56, 0, 44, 14, 114
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Fsm/FsmManager.cs", "C#", 221, 0, 142, 49, 412
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Fsm/FsmState.cs", "C#", 51, 0, 46, 14, 111
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Fsm/IFsm.cs", "C#", 54, 0, 102, 24, 180
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Fsm/IFsmManager.cs", "C#", 32, 0, 127, 23, 182
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/GameFramework.asmdef", "UnityAssemblyDefinition", 0, 14, 0, 0, 14
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Localization/ILocalizationHelper.cs", "C#", 10, 0, 12, 2, 24
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Localization/ILocalizationManager.cs", "C#", 51, 0, 421, 33, 505
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Localization/Language.cs", "C#", 57, 0, 162, 52, 271
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Localization/LocalizationManager.cs", "C#", 488, 0, 501, 77, 1066
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/AddressFamily.cs", "C#", 9, 0, 18, 4, 31
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/INetworkChannel.cs", "C#", 69, 0, 75, 21, 165
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/INetworkChannelHelper.cs", "C#", 18, 0, 46, 10, 74
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/INetworkManager.cs", "C#", 23, 0, 57, 14, 94
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/IPacketHandler.cs", "C#", 11, 0, 17, 3, 31
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/IPacketHeader.cs", "C#", 10, 0, 12, 2, 24
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkClosedEventArgs.cs", "C#", 25, 0, 23, 5, 53
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkConnectedEventArgs.cs", "C#", 33, 0, 27, 6, 66
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkCustomErrorEventArgs.cs", "C#", 33, 0, 27, 6, 66
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkErrorCode.cs", "C#", 15, 0, 36, 10, 61
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkErrorEventArgs.cs", "C#", 50, 0, 35, 9, 94
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.ConnectState.cs", "C#", 31, 0, 6, 6, 43
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.HeartBeatState.cs", "C#", 46, 0, 6, 7, 59
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.NetworkChannelBase.cs", "C#", 462, 0, 95, 80, 637
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.ReceiveState.cs", "C#", 78, 0, 6, 15, 99
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.SendState.cs", "C#", 52, 0, 6, 10, 68
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.TcpNetworkChannel.cs", "C#", 231, 0, 23, 37, 291
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.TcpWithSyncReceiveNetworkChannel.cs", "C#", 210, 0, 23, 34, 267
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkManager.cs", "C#", 251, 0, 68, 35, 354
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/NetworkMissHeartBeatEventArgs.cs", "C#", 33, 0, 27, 6, 66
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/Packet.cs", "C#", 6, 0, 9, 2, 17
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Network/ServiceType.cs", "C#", 8, 0, 15, 3, 26
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/IObjectPool.cs", "C#", 69, 0, 120, 30, 219
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/IObjectPoolManager.cs", "C#", 96, 0, 569, 87, 752
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/ObjectBase.cs", "C#", 117, 0, 71, 20, 208
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/ObjectInfo.cs", "C#", 73, 0, 39, 11, 123
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/ObjectPoolBase.cs", "C#", 72, 0, 60, 21, 153
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/ObjectPoolManager.Object.cs", "C#", 120, 0, 58, 19, 197
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/ObjectPoolManager.ObjectPool.cs", "C#", 437, 0, 127, 74, 638
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/ObjectPoolManager.cs", "C#", 588, 0, 584, 132, 1304
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/ObjectPool/ReleaseObjectFilterCallback.cs", "C#", 6, 0, 14, 3, 23
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Procedure/IProcedureManager.cs", "C#", 23, 0, 48, 11, 82
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Procedure/ProcedureBase.cs", "C#", 28, 0, 32, 7, 67
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Procedure/ProcedureManager.cs", "C#", 116, 0, 63, 26, 205
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Properties/AssemblyInfo.cs", "C#", 14, 0, 19, 6, 39
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/ApplyResourcesCompleteCallback.cs", "C#", 4, 0, 11, 2, 17
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/CheckResourcesCompleteCallback.cs", "C#", 4, 0, 14, 2, 20
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/CheckVersionListResult.cs", "C#", 8, 0, 15, 3, 26
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/Constant.cs", "C#", 7, 0, 12, 2, 21
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/DecryptResourceCallback.cs", "C#", 4, 0, 20, 2, 26
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/HasAssetResult.cs", "C#", 12, 0, 27, 7, 46
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/ILoadResourceAgentHelper.cs", "C#", 21, 0, 59, 15, 95
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/IResourceGroup.cs", "C#", 45, 0, 44, 13, 102
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/IResourceGroupCollection.cs", "C#", 42, 0, 45, 13, 100
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/IResourceHelper.cs", "C#", 9, 0, 25, 4, 38
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/IResourceManager.cs", "C#", 235, 0, 488, 110, 833
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/InitResourcesCompleteCallback.cs", "C#", 4, 0, 9, 2, 15
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/LoadAssetCallbacks.cs", "C#", 73, 0, 59, 14, 146
"/Users/hehuan/fork/StarForce/Assets/GameFramework/Libraries/GameFramework/Resource/LoadAssetDependencyAssetCallback.cs", "C#", 4, 0, 14, 2, 20
